iteration,value,best_value,parameters
0,18234.363101790022,18234.363101790022,"[0.2931871748501761, 0.4207671623071748, 0.45350134317803836, 0.9614580856032364, 0.7702507267965952, 2751.8491917688834, 54.46157857739315]"
1,18263.363077037848,18263.363077037848,"[0.1420721577608427, 0.9751209259359475, 0.8200790261578771, 0.3940747266996114, 0.9550100241106493, 6954.905947200377, 52.331608597469746]"
2,18275.36274791246,18275.36274791246,"[0.11858026649944886, 0.5512546238125118, 0.4155282319332224, 0.04955426527515083, 0.8785347039235886, 6309.44921679153, 32.78746733529127]"
3,18297.362695434105,18297.362695434105,"[0.35700372309614536, 0.5272851281382449, 0.9720373065838609, 0.9709661639705727, 0.3801196533112451, 6949.222712190537, 51.4416043010869]"
4,18310.362429876215,18310.362429876215,"[0.3376964945939399, 0.7810708303068173, 0.6104878593593756, 0.7375771234404128, 0.19963663184598113, 9023.170543651062, 21.10235293065041]"
5,18333.362364914712,18333.362364914712,"[0.593942506466496, 0.2161199393215476, 0.48883206845311866, 0.09533200186069724, 0.6391816784257556, 2.2475050289627596, 6.363575834508401]"
6,18340.362051870532,18340.362051870532,"[0.9288946802171237, 0.4720447142930805, 0.7634262317638926, 0.8706040621779942, 0.12356924540310399, 9992.793878188415, 52.897024071612975]"
7,18362.362042240416,18362.362042240416,"[0.9274099893403629, 0.9752129133477094, 0.5059906843180744, 0.3268302644711798, 0.06244530825914807, 3.192047459399383, 10.387397907759476]"
8,18368.36205079908,18368.36205079908,"[0.8828523398694396, 0.2408002434145332, 0.11498244180127748, 0.17741266114943166, 0.8043221548441958, 9996.744433978398, 34.625424622914544]"
9,18390.36211658939,18390.36211658939,"[0.20405291950153104, 0.5822272536515977, 0.12737210856390946, 0.026789929284805503, 0.800741154262659, 4.1137256870449335, 9.428806658287874]"
10,18405.362608305204,18405.362608305204,"[0.6093710035724851, 0.6626861230492546, 0.3179234813756985, 0.9588420470248951, 0.6655840662098648, 9981.731304732764, 36.89166967961883]"
11,18435.362898305008,18435.362898305008,"[0.8802962061748512, 0.33595280154613305, 0.7065329144515752, 0.6683855059526972, 0.2178559181220494, 1262.0181481086502, 29.15548782913179]"
12,18454.36277794232,18454.36277794232,"[0.6454959718602132, 0.8812833076341742, 0.7804736931685323, 0.6417399521401284, 0.22034224734195285, 9984.06681020181, 58.77921416272824]"
13,18476.362579485805,18476.362579485805,"[0.45658898428236727, 0.09885273788180338, 0.9131349484591633, 0.5134602372782439, 0.00043435935804447823, 3023.9820484358393, 39.65124605560612]"
14,18492.362143105936,18492.362143105936,"[0.25611253571097004, 0.07186341840173527, 0.509660942933237, 0.6320715933552721, 0.9872481893326364, 0.9558735336412383, 55.973537486111915]"
15,18508.36185164099,18508.36185164099,"[0.10279315351411444, 0.5565522204701754, 0.9512617996479522, 0.5559888115355127, 0.3703787092384706, 9995.469948782831, 43.22613302081535]"
16,18531.36170450807,18531.36170450807,"[0.5034547431107096, 0.08530359666838827, 0.36914034211495605, 0.5808656792913882, 0.5723313974280795, 7.27594301956791, 13.068038390517245]"
17,18546.36168142242,18546.36168142242,"[0.06916764859107993, 0.5567037481271562, 0.9534163081548296, 0.562916593171438, 0.360245515542966, 9985.091035124631, 44.092066331176206]"
18,18573.36171930982,18573.36171930982,"[0.6449724415865002, 0.17378300147331416, 0.6125654364019332, 0.6728239749640078, 0.8192765684929634, 28.941581898115352, 39.92684411978389]"
19,18595.36164995899,18595.36164995899,"[0.5890280321340079, 0.940943138824547, 0.19189296140581458, 0.00528322448273677, 0.3929664995876728, 9971.416151194357, 12.884534497317873]"
20,18616.361578215434,18616.361578215434,"[0.6796796368352508, 0.8515235194247976, 0.25967155865770886, 0.8991523223397585, 0.31470308198194274, 4.182759227346899, 5.153157682500922]"
21,18620.36163981701,18620.36163981701,"[0.3257567533106618, 0.43418559934385614, 0.6391583698363915, 0.22771083690340754, 0.3044091928914985, 9995.41047782969, 46.186379255656604]"
22,18647.36172420738,18647.36172420738,"[0.4247936525226049, 0.11424269643042051, 0.6421386134706856, 0.6386461380803299, 0.654904491204986, 9127.872500761561, 58.91082833776176]"
23,18675.361651921547,18675.361651921547,"[0.5802885290515889, 0.7353575264352921, 0.7310372666887875, 0.6498350223156895, 0.7510558907906325, 5013.613260947588, 0.07793884781756022]"
24,18691.36118298474,18691.36118298474,"[0.22497856946153427, 0.5056464165126938, 0.8722562336708412, 0.7785040890672341, 0.5500370796742434, 9.171793890039304, 33.871436923987766]"
25,18698.361223508582,18698.361223508582,"[0.8893302964600517, 0.41556510533046986, 0.5406865386320695, 0.32960740370160413, 0.5092590014200592, 1.3687315320931592, 36.66561904336228]"
26,18719.361352564476,18719.361352564476,"[0.002634717249831109, 0.3162192187000006, 0.5101726138976194, 0.06683290308005596, 0.2036573922386501, 9999.145213639029, 43.821748234075216]"
27,18742.361621559412,18742.361621559412,"[0.6016810186744304, 0.8835241307090761, 0.21470264832151897, 0.2592994360437769, 0.8739143170450999, 1.111141270788707, 44.32434733474279]"
28,18781.362373455693,18781.362373455693,"[0.7378977373647887, 0.9703495072862415, 0.8728860335169064, 0.4807491992484638, 0.07234083077028763, 9976.822459896606, 32.234315221033434]"
29,18804.36254141879,18804.36254141879,"[0.5845253040163967, 0.9818164718436179, 0.49228104402344, 0.3916894346868953, 0.2670215720040723, 9994.789832014027, 41.00143357507923]"
30,18823.3622079238,18823.3622079238,"[0.08116365173158901, 0.44508852704331336, 0.4779846776674591, 0.08130018908816516, 0.8472898209525431, 8985.595502820102, 55.982599790059446]"
31,18837.361829275895,18837.361829275895,"[0.04299028538556615, 0.8732868927525056, 0.5834342744547737, 0.8870738105347596, 0.23611598882774676, 6.624149376278643, 19.51851067088508]"
32,18849.36174569148,18849.36174569148,"[0.09342047998050595, 0.7018546484548773, 0.022188962893422426, 0.6189769112137579, 0.825281348771168, 1.0190843640478509, 20.784369429155415]"
33,18908.362519305338,18908.362519305338,"[0.3976261935805091, 0.3288452051041758, 0.827193374656952, 0.7092380232217518, 0.8134813676578185, 9996.113881619198, 7.798754914810624]"
34,18884.36309492365,18908.362519305338,"[0.5316297966835964, 0.01458528951311222, 0.36018270225219806, 0.8463375087956359, 0.2442963856233954, 19.84318745101188, 57.30391093398494]"
35,18911.363687964713,18911.363687964713,"[0.3766306592635661, 0.6787728279074017, 0.37897068151832036, 0.15729425750692072, 0.5803316135094037, 9993.621522952688, 21.572719809185024]"
36,18945.363820896135,18945.363820896135,"[0.2631031866626651, 0.13804327008582107, 0.7395293780361137, 0.7030966097633731, 0.5935152441533383, 5.01950809256746, 9.00139261332767]"
37,19049.363804735985,19049.363804735985,"[0.5095467864642111, 0.31726969177221875, 0.8166587168823259, 0.3629643733340564, 0.9324098569818323, 9968.724185161325, 1.3708788163156616]"
38,18957.36358461297,19049.363804735985,"[0.292061894057125, 0.8905136297317536, 0.17775932307037445, 0.3132571119917812, 0.9851901648293591, 6904.5848254393, 42.94415640949152]"
39,18978.363485414608,19049.363804735985,"[0.14848191089051133, 0.008824303741170825, 0.9274380815235473, 0.6011209294368863, 0.9786015356276341, 0.030768136505265886, 45.2359135745513]"
40,18995.36326068457,19049.363804735985,"[0.5548448235225029, 0.8351745802594298, 0.5471106661856728, 0.9369173373288666, 0.5010264559160411, 6618.675678019331, 41.86596466015104]"
41,19020.363517156566,19049.363804735985,"[0.47793054328336115, 0.5055092139377951, 0.7790953282200944, 0.6483717194347313, 0.1319484680487455, 1.9696419613657312, 41.05267278759713]"
42,19027.36375093396,19049.363804735985,"[0.7360301498269437, 0.3480371397399278, 0.47791816199534287, 0.9512708558378679, 0.42076465402908947, 9997.133734621164, 30.152317312667872]"
